nni_mean,nni_min,nni_max,hr_mean,hr_min,hr_max,hr_std,sdnn,rmssd,sdsd,nn50,pnn50,nn20,pnn20,tinn_n,tinn_m,tinn,tri_index,fft_ratio,fft_total,fft_window,fft_interpolation,lomb_ratio,lomb_total,ar_ratio,ar_total,ar_interpolation,sd1,sd2,sd_ratio,ellipse_area,dfa_alpha1,dfa_alpha2,EEG,GSR
784,704,828,76.6561090788602,72.463768115942,85.2272727272727,3.24117558467441,31.7161322275945,25.2431652394138,17.6321660788574,3,13.0434782608696,7,30.4347826086957,765.625,820.3125,54.6875,4.8,2.04056976864937,1484.73341853813,hamming,cubic,0.481638680368475,30088.2490770026,0.530532474212058,20905.7531078085,cubic,17.84283412686,41.081043973018,2.30238333669067,2302.79449424819,nan,nan,0.116389741850215,13.860517
764.96,652,872,78.8837143313228,68.8073394495413,92.0245398773006,6.12321742153667,58.5523127923512,31.6333157709821,16.5546963431678,2,8.33333333333333,14,58.3333333333333,750,789.0625,39.0625,6.25,1.76730914900928,1588.01200296057,hamming,cubic,0.432763733183417,30026.9684996462,0.537485565609421,20715.0119255905,cubic,21.9845273873341,77.1188656843735,3.50787007269502,5326.32471785473,nan,nan,0.132672357743475,12.950422
706.074074074074,648,808,85.3454060212072,74.2574257425743,92.5925925925926,5.59313194812099,48.3877971949428,29.4148052726985,17.7781196548324,1,3.84615384615385,11,42.3076923076923,632.8125,687.5,54.6875,5.4,2.07871080257339,1577.59384736486,hamming,cubic,0.494445638132161,30030.1075221297,0.544409993964352,20372.5569752537,cubic,20.7435738962254,64.666280321748,3.11741268140466,4214.16306144411,nan,nan,0.179882067513923,13.275588
756.48,696,820,79.478731622482,73.1707317073171,86.2068965517241,3.6838950421779,35.1249199287344,24.2349609723914,13.2040836897892,1,4.16666666666667,10,41.6666666666667,710.9375,812.5,101.5625,6.25,0.323742162912907,391.190461141601,hamming,cubic,0.469505153226508,29470.4243555143,0.52803098293546,20788.8794856043,cubic,17.1168370650395,44.0982173990943,2.57630643041892,2371.34325649929,nan,nan,0.079991344219782,15.588404
738.769230769231,684,800,81.3506429958515,75,87.719298245614,3.37936915939498,30.6049769708232,24.5666440524545,13.0782261794175,0,0,11,44,664.0625,773.4375,109.375,6.5,0.717294086206713,674.233613747221,hamming,cubic,0.433845351532337,31816.9672767707,0.53514689675457,20596.9462751415,cubic,17.3679244586105,39.035737472219,2.24757641969512,2129.90475329501,nan,nan,0.152351789938306,15.704868
712.142857142857,668,776,84.412701877647,77.319587628866,89.8203592814371,3.7236222080788,31.7486824290211,28.095076674274,15.3693371430431,1,3.7037037037037,14,51.8518518518519,664.0625,765.625,101.5625,5.6,1.66413684501816,906.598753674363,hamming,cubic,0.527333360985871,28732.1877245941,0.535617071530572,20320.7581999612,cubic,19.8562736921677,40.1161550811027,2.02032645717038,2502.4587339015,nan,nan,0.087038853206619,15.4055605
702.222222222222,636,760,85.6815918590829,78.9473684210526,94.3396226415094,4.62067470313675,37.6924123494099,25.7084242403745,15.2339701376183,2,7.69230769230769,11,42.3076923076923,640.625,757.8125,117.1875,6.75,1.20226164709313,1464.39773754282,hamming,cubic,0.507730716372653,26193.8260730356,0.534139295698231,20415.4304635088,cubic,18.0479309243716,48.8635341580427,2.70743135946173,2770.52560251248,nan,nan,0.173167362946302,14.355682
768.96,720,840,78.1456365446209,71.4285714285714,83.3333333333333,3.08965566114466,30.6655072244588,28.6006992921502,15.6251376805528,1,4.16666666666667,12,50,703.125,820.3125,117.1875,6.25,0.203799052590294,467.368846984907,hamming,cubic,0.427859809140008,29787.9024033636,0.52528799431062,20895.9785942588,cubic,20.0412768499858,35.227632777567,1.75775391165219,2217.98559174254,nan,nan,0.113503432517056,16.154644
725.538461538462,660,792,82.9195356481582,75.7575757575758,90.9090909090909,4.35716526084512,38.5509852213722,28.2276460230038,13.1412835496893,1,4,15,60,664.0625,726.5625,62.5,5.2,0.555662853390212,1033.38444488188,hamming,cubic,0.601317982657436,27016.039124241,0.531235233276976,20660.0976762713,cubic,19.7896134373565,48.681035321776,2.45992856181221,3026.54398296631,nan,nan,0.101687614081397,14.430473
791.84,748,844,75.8524116540721,71.0900473933649,80.2139037433155,2.50835414825261,26.1656263062821,30.7787805693035,17.0922475858569,2,8.33333333333333,13,54.1666666666667,726.5625,828.125,101.5625,6.25,0.140300831080202,773.747119863063,hamming,cubic,0.446708274858631,35589.1770419518,0.532107949818893,20776.7528428825,cubic,21.7380235225438,29.3198359098031,1.34878112903855,2002.31067380803,nan,nan,0.275150021579323,16.584288
735.076923076923,684,792,81.7493630387486,75.7575757575758,87.719298245614,3.26460731967886,29.3570067642096,28.543300439858,13.8332931726325,1,4,13,52,703.125,773.4375,70.3125,5.2,0.931457018180231,851.533158969125,hamming,cubic,0.450529585024116,29065.1293801969,0.53773873723629,20591.6383090434,cubic,20.1828441999635,36.079911308095,1.7876524711101,2287.69278079954,nan,nan,0.112834223842423,13.6284485
806.166666666667,752,880,74.5499337662838,68.1818181818182,79.7872340425532,3.07138568273793,33.899681499936,23.3685035148111,11.7496951436358,0,0,9,39.1304347826087,742.1875,828.125,85.9375,6,1.16483023236413,587.196589533033,hamming,cubic,0.529041158288279,31505.9273278417,0.528618958902572,21012.8195773431,cubic,16.4685643146575,44.1310987313515,2.67971742333808,2283.23363263096,nan,nan,0.080474524407446,12.895072
